isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST WEST 146 216
true false WEST NORTH 146 216
true false NORTH WEST 146 216
true false WEST EAST 146 216
true false EAST EAST 146 216
true false EAST NORTH 146 216
true false NORTH WEST 146 216
true false WEST EAST 146 216
true false EAST EAST 146 216
true false EAST WEST 146 216
true false WEST NORTH 146 216
true false NORTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH EAST 146 216
true false EAST EAST 146 216
true false EAST NORTH 146 216
true false NORTH EAST 146 216
true false EAST SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST WEST 146 216
true false WEST WEST 146 216
true false WEST WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST EAST 146 216
true false EAST EAST 146 216
true false EAST EAST 146 216
true false EAST NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH EAST 146 216
true false EAST EAST 146 216
true false EAST SOUTH 146 216
true false SOUTH SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST WEST 146 216
true false WEST EAST 146 216
true false EAST EAST 146 216
true false EAST SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH EAST 146 216
true false EAST WEST 146 216
true false WEST WEST 146 216
true false WEST NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH WEST 146 216
true false WEST NORTH 146 216
true false NORTH EAST 146 216
true false EAST SOUTH 146 216
true false SOUTH WEST 146 216
true false WEST WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH EAST 146 216
true false EAST WEST 146 216
true false WEST WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH EAST 146 216
true false EAST NORTH 146 216
true false NORTH EAST 146 216
true false EAST WEST 146 216
true false WEST EAST 146 216
true false EAST EAST 146 216
true false EAST WEST 146 216
true false WEST NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH WEST 146 216
true false WEST SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH WEST 146 216
true false WEST NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH SOUTH 146 216
true false SOUTH NORTH 146 216
true false NORTH NORTH 146 216
true false NORTH WEST 146 216
true false WEST WEST 146 216
true false WEST NORTH 146 216
true false NORTH NORTH 145 201
true false NORTH NORTH 144 186
true false NORTH NORTH 144 171
