isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST WEST 177 10
true false WEST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST WEST 176 20
true false WEST EAST 176 20
true false EAST EAST 176 20
true false EAST EAST 175 30
true false EAST EAST 174 40
true false EAST SOUTH 173 50
true false SOUTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 170 80
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 168 100
true false WEST EAST 168 100
true false EAST EAST 167 110
true false EAST EAST 166 120
true false EAST WEST 165 130
true false WEST WEST 165 130
true false WEST EAST 165 130
true false EAST NORTH 165 130
true false NORTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST EAST 164 140
true false EAST NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST EAST 162 160
true false EAST NORTH 161 170
true false NORTH EAST 160 180
true false EAST WEST 160 180
true false WEST EAST 160 180
true false EAST WEST 160 180
true false WEST EAST 160 180
true false EAST WEST 160 180
true false WEST NORTH 160 180
true false NORTH EAST 159 190
true false EAST SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST WEST 159 190
true false WEST NORTH 159 190
true false NORTH NORTH 159 190
true false NORTH EAST 159 190
true false EAST NORTH 159 190
true false NORTH WEST 159 190
true false WEST SOUTH 159 190
true false SOUTH NORTH 159 190
true false NORTH EAST 159 190
true false EAST WEST 159 190
true false WEST SOUTH 159 190
true false SOUTH NORTH 159 190
true false NORTH EAST 159 190
true false EAST WEST 159 190
true false WEST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST WEST 159 190
true false WEST EAST 159 190
true false EAST EAST 159 190
true false EAST NORTH 159 190
true false NORTH WEST 159 190
true false WEST EAST 159 190
true false EAST SOUTH 159 190
true false SOUTH NORTH 159 190
true false NORTH WEST 159 190
true false WEST EAST 159 190
