isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST NORTH 178 0
true false NORTH WEST 178 0
true false WEST NORTH 177 10
true false NORTH EAST 176 20
true false EAST WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST WEST 176 20
true false WEST NORTH 176 20
true false NORTH EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 174 40
true false WEST WEST 174 40
true false WEST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH NORTH 173 50
true false NORTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST EAST 173 50
true false EAST NORTH 173 50
true false NORTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 172 60
true false WEST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST EAST 170 80
true false EAST WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH WEST 167 110
true false WEST EAST 166 120
true false EAST NORTH 166 120
true false NORTH WEST 165 130
true false WEST WEST 165 130
true false WEST NORTH 165 130
true false NORTH NORTH 164 140
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH NORTH 162 160
true false NORTH WEST 161 170
true false WEST NORTH 161 170
true false NORTH WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST NORTH 160 180
true false NORTH EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST WEST 160 180
true false WEST NORTH 160 180
true false NORTH EAST 160 180
true false EAST WEST 160 180
true false WEST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH WEST 160 180
true false WEST EAST 160 180
true false EAST NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST NORTH 160 180
true false NORTH EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST WEST 160 180
true false WEST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST EAST 158 -2147483449
